jobTitle,department,earnings,year,serviceArea,hourlyWage,status
sr city plnnr/zoning-inactive,comm dev & neighborhood svcs,71016.48,2015.0,planning development & transportation,34.14,full time
construction inspector,engineering,70858.15,2015.0,planning development & transportation,34.07,full time
police officer,patrol,70832.88,2015.0,police services,34.05,full time
city planner,comm dev & neighborhood svcs,70813.6,2015.0,planning development & transportation,34.05,full time
recreation supervisor,recreation,70774.64,2015.0,community and operation services,34.03,full time
assistant museum director,cultural services,70747.36,2015.0,community and operation services,34.01,full time
police officer,patrol,70740.3,2015.0,police services,34.01,full time
plans analyst,comm dev & neighborhood svcs,70660.83,2015.0,planning development & transportation,33.97,full time
police officer,patrol,70653.27,2015.0,police services,33.97,full time
electric lineworker,electric field services,70534.31,2015.0,utility services,33.91,full time
lead mechanic,operation services,70507.98,2015.0,community and operation services,33.9,full time
police lieutenant,office of the chief,70374.83,2015.0,police services,33.83,full time
superintendent of golf-inactiv,parks,70373.13,2015.0,community and operation services,33.83,full time
electric meter tech,ut standards engineering div,70297.85,2015.0,planning development & transportation,33.8,full time
credit/collections rep,utilities customer connections,70208.0,2015.0,utility services,33.75,full time
crew chief,parks,70148.61,2015.0,community and operation services,33.73,full time
community service officer,patrol,70018.9,2015.0,police services,33.66,full time
police officer,patrol,69943.9,2015.0,police services,33.63,full time
mechanic,operation services,69751.7,2015.0,community and operation services,33.53,full time
police officer,patrol,69712.56,2015.0,police services,33.52,full time
systems specialist,information technology,69689.32,2015.0,information and employee services,33.5,full time
key accounts rep,utilities customer connections,69652.36,2015.0,utility services,33.49,full time
streets equipment operator ii,streets,69565.02,2015.0,planning development & transportation,33.44,full time
police officer,patrol,69476.37,2015.0,police services,33.4,full time
police officer,patrol,69421.1,2015.0,police services,33.38,full time
electric meter tech,ut standards engineering div,69396.45,2015.0,planning development & transportation,33.36,full time
lead mechanic,operation services,69382.4,2015.0,community and operation services,33.36,full time
lead mechanic,operation services,69325.71,2015.0,community and operation services,33.33,full time
systems administration mgr,information technology,69230.72,2015.0,information and employee services,33.28,full time
plant operator,ut water production div,69177.74,2015.0,utility services,33.26,full time
building inspector-inactive,comm dev & neighborhood svcs,69095.16,2015.0,planning development & transportation,33.22,full time
gis programmer/analyst,information technology,69066.48,2015.0,information and employee services,33.21,full time
crew chief,parks,69052.09,2015.0,community and operation services,33.2,full time
community service officer,patrol,68941.61,2015.0,police services,33.15,full time
therapeutic recreation spec,recreation,68920.24,2015.0,community and operation services,33.13,full time
systems specialist,information technology,68855.04,2015.0,information and employee services,33.1,full time
master electrician,operation services,68731.6,2015.0,community and operation services,33.04,full time
plant operator,ut water production div,68666.85,2015.0,utility services,33.01,full time
electric lineworker,electric field services,68639.81,2015.0,utility services,33.0,full time
instrument/electric tech,ut water production div,68604.26,2015.0,utility services,32.98,full time
instrument/electric tech,ut water production div,68500.94,2015.0,utility services,32.93,full time
police officer,patrol,68436.53,2015.0,police services,32.9,full time
mechanic,operation services,68320.53,2015.0,community and operation services,32.85,full time
maintenance specialist,ut water production div,68268.81,2015.0,utility services,32.82,full time
real estate specialist iii,operation services,68013.55,2015.0,community and operation services,32.7,full time
civil engineer i,engineering,68001.88,2015.0,planning development & transportation,32.69,full time
police sergeant,patrol,67976.34,2015.0,police services,32.68,full time
apprentice landscape architect,park planning & development,67969.02,2015.0,community and operation services,32.68,full time
sr environmental planner,environmental services,67872.85,2015.0,sustainability services,32.63,full time
mechanic,operation services,67754.59,2015.0,community and operation services,32.57,full time
crew chief,parks,67657.16,2015.0,community and operation services,32.53,full time
mechanic,operation services,67647.95,2015.0,community and operation services,32.52,full time
legal exec admin asst,city attorney's office,67581.85,2015.0,city attorney,32.49,full time
electric utility project mgr,ut electric systems eng div,67523.25,2015.0,utility services,32.46,full time
line crew chief,electric field services,67456.42,2015.0,utility services,32.43,full time
police officer,patrol,67420.01,2015.0,police services,32.41,full time
crew chief,parks,67390.23,2015.0,community and operation services,32.4,full time
change management analyst,information technology,67361.68,2015.0,information and employee services,32.39,full time
sr buyer-inactive,utility financial operations,67314.95,2015.0,utility services,32.36,full time
water trtmnt plant superintndt,ut water production div,67079.6,2015.0,utility services,32.25,full time
construction inspector,streets,66931.38,2015.0,planning development & transportation,32.18,full time
city forester - inactive,parks,66805.31,2015.0,community and operation services,32.12,full time
crew chief,ut water meters div,66776.39,2015.0,utility services,32.1,full time
health and safety specialist,"safety, security, & risk mgmt.",66679.5,2015.0,financial services,32.06,full time
real estate specialist iii,operation services,66667.78,2015.0,community and operation services,32.05,full time
water util field opns supntndt,ut water meters div,66652.18,2015.0,utility services,32.04,full time
crime analyst,office of the chief,66629.0,2015.0,police services,32.03,full time
recreation supervisor,recreation,66506.44,2015.0,community and operation services,31.97,full time
road supervisor,transfort / dial-a-ride,66435.79,2015.0,planning development & transportation,31.94,full time
streets equipment operator ii,streets,66310.59,2015.0,planning development & transportation,31.88,full time
water supply controller,ut water production div,66304.76,2015.0,utility services,31.88,full time
human resources representative,human resources,66231.4,2015.0,information and employee services,31.84,full time
crime prevention specialist,patrol,66126.56,2015.0,police services,31.79,full time
cust support business analyst,utilities customer connections,66006.55,2015.0,utility services,31.73,full time
crew chief,parks,65970.19,2015.0,community and operation services,31.72,full time
financial coordinator,utility financial operations,65904.34,2015.0,utility services,31.68,full time
meter reader supervisor,ut standards engineering div,65825.69,2015.0,planning development & transportation,31.65,full time
maintenance planner/scheduler,operation services,65615.99,2015.0,community and operation services,31.55,full time
utilty bldg/hvac mtnance coord,safety and security,65535.36,2015.0,financial services,31.51,full time
environmental planner,environmental services,65512.5,2015.0,sustainability services,31.5,full time
building inspector-inactive,comm dev & neighborhood svcs,65505.88,2015.0,planning development & transportation,31.49,full time
building inspector-inactive,comm dev & neighborhood svcs,65490.88,2015.0,planning development & transportation,31.49,full time
recreation area manager,recreation,65437.98,2015.0,community and operation services,31.46,full time
community service officer,patrol,65398.4,2015.0,police services,31.44,full time
city planner,comm dev & neighborhood svcs,65328.92,2015.0,planning development & transportation,31.41,full time
recruitment specialist,human resources,65220.34,2015.0,information and employee services,31.36,full time
gis programmer/analyst,information technology,65158.71,2015.0,information and employee services,31.33,full time
financial analyst,transfort / dial-a-ride,65062.31,2015.0,planning development & transportation,31.28,full time
transit planner,transfort / dial-a-ride,65022.83,2015.0,planning development & transportation,31.26,full time
financial analyst,office of the chief,65017.15,2015.0,police services,31.26,full time
zoning inspector,comm dev & neighborhood svcs,64957.2,2015.0,planning development & transportation,31.23,full time
material control supervisor,ut standards engineering div,64890.97,2015.0,planning development & transportation,31.2,full time
comm & admin mgr-inactive,transfort / dial-a-ride,64857.88,2015.0,planning development & transportation,31.18,full time
customer service supervisor,parking,64847.72,2015.0,planning development & transportation,31.18,full time
environmental planner,utilities customer connections,64833.02,2015.0,utility services,31.17,full time
bldg control system maint spec,operation services,64820.9,2015.0,community and operation services,31.16,full time
electric lineworker,electric field services,64802.05,2015.0,utility services,31.15,full time
road supervisor,transfort / dial-a-ride,64797.94,2015.0,planning development & transportation,31.15,full time
human resources director,human resources,64543.55,2015.0,information and employee services,31.03,full time
real estate specialist iii,operation services,64471.49,2015.0,community and operation services,31.0,full time
equipment operator specialist,streets,64399.84,2015.0,planning development & transportation,30.96,full time
sr accountant-inactive,accounting and treasury,64293.25,2015.0,financial services,30.91,full time
benefits analyst,human resources,64139.69,2015.0,information and employee services,30.84,full time
civil engineer i,engineering,64018.1,2015.0,planning development & transportation,30.78,full time
crime analyst,patrol,64004.36,2015.0,police services,30.77,full time
police officer,patrol,63981.6,2015.0,police services,30.76,full time
police officer,patrol,63968.64,2015.0,police services,30.75,full time
telecom sys & svcs admnistrtor,information technology,63931.78,2015.0,information and employee services,30.74,full time
city planner,comm dev & neighborhood svcs,63622.14,2015.0,planning development & transportation,30.59,full time
asst suprntendnt-golf-inactive,parks,63177.66,2015.0,community and operation services,30.37,full time
construction inspector,engineering,63042.03,2015.0,planning development & transportation,30.31,full time
chemist,ut water production div,63021.8,2015.0,utility services,30.3,full time
mechanic,operation services,62953.79,2015.0,community and operation services,30.27,full time
sr transportation planner,fc moves,62908.96,2015.0,planning development & transportation,30.24,full time
construction inspector,engineering,62803.39,2015.0,planning development & transportation,30.19,full time
sr assistant city attorney,city attorney's office,62689.8,2015.0,city attorney,30.14,full time
maintenance specialist,ut water production div,62648.65,2015.0,utility services,30.12,full time
mechanic,operation services,62589.02,2015.0,community and operation services,30.09,full time
electric meter tech,ut standards engineering div,62532.6,2015.0,planning development & transportation,30.06,full time
recreation supervisor,recreation,62455.5,2015.0,community and operation services,30.03,full time
police officer,investigations,62454.29,2015.0,police services,30.03,full time
plant operator,ut water production div,62433.05,2015.0,utility services,30.02,full time
exec asst to city mgr-inactive,city manager's office,62173.22,2015.0,city manager,29.89,full time
systems & performance analyst,transfort / dial-a-ride,62141.1,2015.0,planning development & transportation,29.88,full time
park ranger,parks,62108.67,2015.0,community and operation services,29.86,full time
victim advocate,investigations,62054.71,2015.0,police services,29.83,full time
community service officer,patrol,62039.76,2015.0,police services,29.83,full time
police sergeant,patrol,62039.46,2015.0,police services,29.83,full time
financial coordinator,streets,61982.75,2015.0,planning development & transportation,29.8,full time
administrative support supv,human resources,61965.24,2015.0,information and employee services,29.79,full time
environmental planner,environmental services,61933.84,2015.0,sustainability services,29.78,full time
traffic control supervisor,streets,61911.89,2015.0,planning development & transportation,29.77,full time
special projects manager,ut water utilities engineering,61745.82,2015.0,planning development & transportation,29.69,full time
asst suprntendnt-golf-inactive,parks,61401.24,2015.0,community and operation services,29.52,full time
lead customer service rep,utilities customer connections,61103.91,2015.0,utility services,29.38,full time
civil engineer ii,engineering,60984.92,2015.0,planning development & transportation,29.32,full time
facilities locate supervisor,ut electric systems eng div,60962.25,2015.0,utility services,29.31,full time
pc hardwr/softwre specialist,information technology,60959.63,2015.0,information and employee services,29.31,full time
pc hardwr/softwre specialist,information technology,60749.97,2015.0,information and employee services,29.21,full time
community service officer,patrol,60336.6,2015.0,police services,29.01,full time
construction inspector,streets,60108.5,2015.0,planning development & transportation,28.9,full time
mechanic,operation services,60060.35,2015.0,community and operation services,28.88,full time
park ranger,parks,60052.6,2015.0,community and operation services,28.87,full time
payroll/accts payable supv,accounting and treasury,59979.17,2015.0,financial services,28.84,full time
asst suprntendnt-golf-inactive,parks,59972.7,2015.0,community and operation services,28.83,full time
lead customer service rep,utilities customer connections,59944.21,2015.0,utility services,28.82,full time
streets equipment operator ii,streets,59854.61,2015.0,planning development & transportation,28.78,full time
police investigative aide,investigations,59851.14,2015.0,police services,28.77,full time
maint tech-landscape,electric field services,59748.26,2015.0,utility services,28.73,full time
technical production director,cultural services,59720.96,2015.0,community and operation services,28.71,full time
deputy city clerk,city clerk's office,59637.99,2015.0,deputy city manager,28.67,full time
financial coordinator,cultural services,59621.16,2015.0,community and operation services,28.66,full time
wellness program coordinator,human resources,59586.94,2015.0,information and employee services,28.65,full time
police investigative aide,investigations,59574.8,2015.0,police services,28.64,full time
mechanic,operation services,59532.98,2015.0,community and operation services,28.62,full time
operations manager-inactive,transfort / dial-a-ride,59429.01,2015.0,planning development & transportation,28.57,full time
city planner,comm dev & neighborhood svcs,59342.83,2015.0,planning development & transportation,28.53,full time
water svcs safety & trng supv,safety and security,59301.63,2015.0,financial services,28.51,full time
revenue/licensing agent,sales tax,59212.51,2015.0,financial services,28.47,full time
recreation coordinator,recreation,59211.01,2015.0,community and operation services,28.47,full time
city planner,comm dev & neighborhood svcs,59207.46,2015.0,planning development & transportation,28.47,full time
zoning inspector,comm dev & neighborhood svcs,59021.2,2015.0,planning development & transportation,28.38,full time
asst city forester-inactive,parks,58975.81,2015.0,community and operation services,28.35,full time
database analyst,information technology,58965.7,2015.0,information and employee services,28.35,full time
financial coordinator,engineering,58903.79,2015.0,planning development & transportation,28.32,full time
administrative support supv,operation services,58876.17,2015.0,community and operation services,28.31,full time
mechanic,operation services,58808.59,2015.0,community and operation services,28.27,full time
recreation coordinator,recreation,58731.76,2015.0,community and operation services,28.24,full time
neighborhood dev rev liaison,comm dev & neighborhood svcs,58597.67,2015.0,planning development & transportation,28.17,full time
recreation coordinator,recreation,58577.48,2015.0,community and operation services,28.16,full time
sr assistant city attorney,city attorney's office,58462.58,2015.0,city attorney,28.11,full time
instrument/electric tech,ut water production div,58453.28,2015.0,utility services,28.1,full time
sr communications & mktg spec,utilities customer connections,58355.83,2015.0,utility services,28.06,full time
mechanic,operation services,58313.78,2015.0,community and operation services,28.04,full time
parking enforcement supervisor,parking,58311.22,2015.0,planning development & transportation,28.03,full time
police officer,patrol,58236.71,2015.0,police services,28.0,full time
road supervisor,transfort / dial-a-ride,58233.43,2015.0,planning development & transportation,28.0,full time
forestry supervisor-inactive,parks,58222.52,2015.0,community and operation services,27.99,full time
fraud investigations specialis,investigations,58220.37,2015.0,police services,27.99,full time
personnel specialist,human resources,58180.72,2015.0,information and employee services,27.97,full time
recreation coordinator,recreation,58159.5,2015.0,community and operation services,27.96,full time
line groundworker,electric field services,57928.68,2015.0,utility services,27.85,full time
plans analyst,comm dev & neighborhood svcs,57701.44,2015.0,planning development & transportation,27.74,full time
streets equipment operator ii,streets,57698.5,2015.0,planning development & transportation,27.74,full time
"sfty, secrty trng mgr-inactive",transfort / dial-a-ride,57525.83,2015.0,planning development & transportation,27.66,full time
utilities financial ops mgr,utility financial operations,57481.08,2015.0,utility services,27.64,full time
engineering technician,engineering,57464.36,2015.0,planning development & transportation,27.63,full time
construction inspector,engineering,57271.5,2015.0,planning development & transportation,27.53,full time
building inspector-inactive,comm dev & neighborhood svcs,57082.51,2015.0,planning development & transportation,27.44,full time
mechanic,operation services,57041.04,2015.0,community and operation services,27.42,full time
traffic control supervisor,streets,56890.26,2015.0,planning development & transportation,27.35,full time
util financial ops mgr-inactiv,utility financial operations,56890.18,2015.0,utility services,27.35,full time
police investigative aide,investigations,56888.57,2015.0,police services,27.35,full time
pc hardwr/softwre specialist,information technology,56742.54,2015.0,information and employee services,27.28,full time
customer accounts manager,utilities customer connections,56699.97,2015.0,utility services,27.26,full time
assistant city attorney i,city attorney's office,56680.99,2015.0,city attorney,27.25,full time
streets equipment operator ii,streets,56647.01,2015.0,planning development & transportation,27.23,full time
construction inspector,streets,56638.6,2015.0,planning development & transportation,27.23,full time
road supervisor,transfort / dial-a-ride,56590.73,2015.0,planning development & transportation,27.21,full time
water meter systems operator,ut water meters div,56407.94,2015.0,utility services,27.12,full time
parks/grounds tech,parks,56398.68,2015.0,community and operation services,27.11,full time
mechanic,operation services,56258.76,2015.0,community and operation services,27.05,full time
utility services coordinator,utilities customer connections,56137.88,2015.0,utility services,26.99,full time
municipal court prosecutor,city attorney's office,56094.0,2015.0,city attorney,26.97,full time
crew chief,parks,56042.28,2015.0,community and operation services,26.94,full time
mechanic,operation services,56029.48,2015.0,community and operation services,26.94,full time
survey party chief,engineering,55928.95,2015.0,planning development & transportation,26.89,full time
parks/grounds tech,parks,55838.46,2015.0,community and operation services,26.85,full time
plant operator,ut water production div,55806.96,2015.0,utility services,26.83,full time
watershed technician,ut water production div,55634.9,2015.0,utility services,26.75,full time
sr environmental planner,comm dev & neighborhood svcs,55577.84,2015.0,planning development & transportation,26.72,full time
utility billing supervisor,utilities customer connections,55519.75,2015.0,utility services,26.69,full time
streets equipment operator i,streets,55226.33,2015.0,planning development & transportation,26.55,full time
parks/grounds tech,parks,55206.91,2015.0,community and operation services,26.54,full time
electric dist safety supv,electric field services,55026.17,2015.0,utility services,26.45,full time
accountant-inactive,accounting and treasury,54994.42,2015.0,financial services,26.44,full time
parks/grounds tech,parks,54921.1,2015.0,community and operation services,26.4,full time
water meter technician,ut water meters div,54901.33,2015.0,utility services,26.39,full time
electric lineworker,electric field services,54900.09,2015.0,utility services,26.39,full time
police officer,patrol,54803.31,2015.0,police services,26.35,full time
police investigative aide,investigations,54773.9,2015.0,police services,26.33,full time
neighborhood services manager,comm dev & neighborhood svcs,54712.86,2015.0,planning development & transportation,26.3,full time
water meter systems operator,ut water meters div,54695.93,2015.0,utility services,26.3,full time
comm dev & neigh svcs director,comm dev & neighborhood svcs,54661.78,2015.0,planning development & transportation,26.28,full time
police officer,patrol,54657.3,2015.0,police services,26.28,full time
water conservation specialist,utilities customer connections,54592.29,2015.0,utility services,26.25,full time
publicity/marketing tech,city clerk's office,54578.11,2015.0,deputy city manager,26.24,full time
parks/grounds tech,parks,54469.31,2015.0,community and operation services,26.19,full time
construction inspector,engineering,54464.43,2015.0,planning development & transportation,26.18,full time
gis programmer/analyst,information technology,54459.75,2015.0,information and employee services,26.18,full time
maintenance tech - building,operation services,54458.61,2015.0,community and operation services,26.18,full time
financial coordinator,city manager's office,54384.03,2015.0,city manager,26.15,full time
compliance inspector,comm dev & neighborhood svcs,54310.7,2015.0,planning development & transportation,26.11,full time
utility facility locator,ut electric systems eng div,54246.05,2015.0,utility services,26.08,full time
streets equipment operator ii,streets,54181.56,2015.0,planning development & transportation,26.05,full time
financial analyst,utility financial operations,54139.98,2015.0,utility services,26.03,full time
field/training coordinator,transfort / dial-a-ride,54107.77,2015.0,planning development & transportation,26.01,full time
administrative support supv,parks,54082.37,2015.0,community and operation services,26.0,full time
civil engineer iii,ut water utilities engineering,54065.92,2015.0,planning development & transportation,25.99,full time
facility maintenance tech,recreation,54058.3,2015.0,community and operation services,25.99,full time
engineering technician,ut water systems engr div,54048.68,2015.0,utility services,25.98,full time
parks/grounds tech,parks,53997.87,2015.0,community and operation services,25.96,full time
parks/grounds tech,parks,53931.62,2015.0,community and operation services,25.93,full time
municipal court admnstr-inactv,municipal court,53923.5,2015.0,judicial services,25.92,full time
utility services coordinator,utilities customer connections,53837.5,2015.0,utility services,25.88,full time
bus operator,transfort / dial-a-ride,53818.92,2015.0,planning development & transportation,25.87,full time
real estate specialist i,operation services,53698.35,2015.0,community and operation services,25.82,full time
recreation coordinator,recreation,53628.46,2015.0,community and operation services,25.78,full time
custodial contract admn,operation services,53571.08,2015.0,community and operation services,25.76,full time
parks/grounds tech,parks,53545.33,2015.0,community and operation services,25.74,full time
utility fee/rate specialist,utility financial operations,53535.0,2015.0,utility services,25.74,full time
executive admin asst-inactive,city manager's office,53522.7,2015.0,city manager,25.73,full time
administrative assistant,patrol,53516.68,2015.0,police services,25.73,full time
public relations coordinator,recreation,53356.72,2015.0,community and operation services,25.65,full time
recreation coordinator,recreation,53255.74,2015.0,community and operation services,25.6,full time
gis mapping specialist,information technology,53245.0,2015.0,information and employee services,25.6,full time
dispatch/scheduler,transfort / dial-a-ride,53071.62,2015.0,planning development & transportation,25.52,full time
fundraising & marketing coord,cultural services,53028.0,2015.0,community and operation services,25.49,full time
water resources engineer,ut water resources div,52977.98,2015.0,utility services,25.47,full time
benefits specialist,human resources,52974.54,2015.0,information and employee services,25.47,full time
maint tech-hvac-inactive,operation services,52943.17,2015.0,community and operation services,25.45,full time
maintenance tech - building,operation services,52887.57,2015.0,community and operation services,25.43,full time
telecom technical specialist,information technology,52878.6,2015.0,information and employee services,25.42,full time
publicity marketing specialist,utilities customer connections,52789.52,2015.0,utility services,25.38,full time
credit/collections rep,utilities customer connections,52711.37,2015.0,utility services,25.34,full time
administrative assistant,office of the chief,52674.16,2015.0,police services,25.32,full time
maintenance tech - building,operation services,52637.11,2015.0,community and operation services,25.31,full time
revenue and project manager,sales tax,52608.39,2015.0,financial services,25.29,full time
building inspector-inactive,comm dev & neighborhood svcs,52602.71,2015.0,planning development & transportation,25.29,full time
administrative support supv,streets,52595.71,2015.0,planning development & transportation,25.29,full time
energy services program coord,utilities customer connections,52501.06,2015.0,utility services,25.24,full time
road supervisor,transfort / dial-a-ride,52416.96,2015.0,planning development & transportation,25.2,full time
parking facilities supervisor,parking,52248.81,2015.0,planning development & transportation,25.12,full time
gis mapping specialist,ut electric systems eng div,52204.16,2015.0,utility services,25.1,full time
bus operator,transfort / dial-a-ride,52133.62,2015.0,planning development & transportation,25.06,full time
sales tax auditor,sales tax,52027.0,2015.0,financial services,25.01,full time
line crew chief,electric field services,51976.01,2015.0,utility services,24.99,full time
transit services officer,transfort / dial-a-ride,51957.21,2015.0,planning development & transportation,24.98,full time
bus operator,transfort / dial-a-ride,51881.87,2015.0,planning development & transportation,24.94,full time
recreation coordinator,recreation,51840.58,2015.0,community and operation services,24.92,full time
police officer,patrol,51499.84,2015.0,police services,24.76,full time
parks/grounds tech,parks,51497.03,2015.0,community and operation services,24.76,full time
transit services officer,transfort / dial-a-ride,51476.07,2015.0,planning development & transportation,24.75,full time
water conservation coordinator,utilities customer connections,51470.8,2015.0,utility services,24.75,full time
box office coordinator,cultural services,51344.18,2015.0,community and operation services,24.68,full time
recreation coordinator,recreation,51316.72,2015.0,community and operation services,24.67,full time
executive admin asst-inactive,city manager's office,51222.5,2015.0,city manager,24.63,full time
curator,cultural services,51220.16,2015.0,community and operation services,24.63,full time
environmental data analyst,environmental services,51197.93,2015.0,sustainability services,24.61,full time
community service officer,patrol,51184.83,2015.0,police services,24.61,full time
forstry crew leadr-large trees,parks,51111.56,2015.0,community and operation services,24.57,full time
bus operator,transfort / dial-a-ride,51062.48,2015.0,planning development & transportation,24.55,full time
benefits specialist,human resources,51056.23,2015.0,information and employee services,24.55,full time
parks/grounds tech,parks,50990.99,2015.0,community and operation services,24.51,full time
streets equipment operator i,streets,50975.98,2015.0,planning development & transportation,24.51,full time
education specialist,utilities customer connections,50921.22,2015.0,utility services,24.48,full time
restorative justice prog coord,comm dev & neighborhood svcs,50882.38,2015.0,planning development & transportation,24.46,full time
administrative assistant,comm dev & neighborhood svcs,50873.84,2015.0,planning development & transportation,24.46,full time
associate planner,comm dev & neighborhood svcs,50762.28,2015.0,planning development & transportation,24.4,full time
water meter systems operator,ut water meters div,50662.89,2015.0,utility services,24.36,full time
util hlth safty & securty mgr,safety and security,50560.88,2015.0,financial services,24.31,full time
water conservation mgr,utilities customer connections,50549.97,2015.0,utility services,24.3,full time
bus operator,transfort / dial-a-ride,50508.31,2015.0,planning development & transportation,24.28,full time
sr environmental planner,environmental services,50477.28,2015.0,sustainability services,24.27,full time
paralegal,city attorney's office,50419.32,2015.0,city attorney,24.24,full time
parks/grounds tech,parks,50360.79,2015.0,community and operation services,24.21,full time
water trtmnt plant superintndt,ut water production div,50335.59,2015.0,utility services,24.2,full time
bus operator,transfort / dial-a-ride,50266.52,2015.0,planning development & transportation,24.17,full time
paralegal,city attorney's office,50133.0,2015.0,city attorney,24.1,full time
scheduling supervisor,cultural services,50122.47,2015.0,community and operation services,24.1,full time
bus operator,transfort / dial-a-ride,50105.66,2015.0,planning development & transportation,24.09,full time
water meter systems operator,ut water meters div,50077.93,2015.0,utility services,24.08,full time
streets equipment operator i,streets,50077.51,2015.0,planning development & transportation,24.08,full time
bus operator,transfort / dial-a-ride,50011.29,2015.0,planning development & transportation,24.04,full time
electric lineworker,electric field services,49937.56,2015.0,utility services,24.01,full time
bus operator,transfort / dial-a-ride,49817.19,2015.0,planning development & transportation,23.95,full time
administrative assistant,ut water production div,49807.45,2015.0,utility services,23.95,full time
parks/grounds tech,parks,49802.7,2015.0,community and operation services,23.94,full time
streets equipment operator i,streets,49779.92,2015.0,planning development & transportation,23.93,full time
administrative assistant,ut water systems engr div,49752.45,2015.0,utility services,23.92,full time
horticulture technician,cultural services,49729.53,2015.0,community and operation services,23.91,full time
parks/grounds tech,parks,49694.72,2015.0,community and operation services,23.89,full time
bus operator,transfort / dial-a-ride,49524.36,2015.0,planning development & transportation,23.81,full time
bus operator,transfort / dial-a-ride,49502.34,2015.0,planning development & transportation,23.8,full time
bus operator,transfort / dial-a-ride,49392.3,2015.0,planning development & transportation,23.75,full time
bus operator,transfort / dial-a-ride,49369.78,2015.0,planning development & transportation,23.74,full time
parks/grounds tech,parks,49324.75,2015.0,community and operation services,23.71,full time
land survey technician,engineering,49256.21,2015.0,planning development & transportation,23.68,full time
parks/grounds tech,parks,49109.27,2015.0,community and operation services,23.61,full time
line groundworker,electric field services,49012.06,2015.0,utility services,23.56,full time
maint tech-hvac-inactive,operation services,49008.49,2015.0,community and operation services,23.56,full time
transfort cust service supv,transfort / dial-a-ride,48996.44,2015.0,planning development & transportation,23.56,full time
parks/grounds tech,parks,48937.8,2015.0,community and operation services,23.53,full time
parks/grounds tech,parks,48925.8,2015.0,community and operation services,23.52,full time
civil engineer iii,ut water utilities engineering,48850.11,2015.0,planning development & transportation,23.49,full time
benefits specialist,human resources,48563.19,2015.0,information and employee services,23.35,full time
transit services officer,transfort / dial-a-ride,48433.14,2015.0,planning development & transportation,23.29,full time
aquatics maintenance tech,operation services,48413.26,2015.0,community and operation services,23.28,full time
utility billing representative,utilities customer connections,48379.46,2015.0,utility services,23.26,full time
comm outreach garden coord,cultural services,48360.63,2015.0,community and operation services,23.25,full time
administrative assistant,patrol,48321.18,2015.0,police services,23.23,full time
accounts payable rep,utility financial operations,48277.3,2015.0,utility services,23.21,full time
publicity marketing specialist,recreation,48261.0,2015.0,community and operation services,23.2,full time
energy services program coord,utilities customer connections,48193.26,2015.0,utility services,23.17,full time
dispatch/scheduler,transfort / dial-a-ride,48161.23,2015.0,planning development & transportation,23.15,full time
electric lineworker,electric field services,48132.6,2015.0,utility services,23.14,full time
sales tax technician,sales tax,48073.08,2015.0,financial services,23.11,full time
facility maintenance tech,recreation,48040.78,2015.0,community and operation services,23.1,full time
bus operator,transfort / dial-a-ride,48006.19,2015.0,planning development & transportation,23.08,full time
parks/grounds tech,parks,47972.66,2015.0,community and operation services,23.06,full time
electric utility project mgr,ut electric systems eng div,47954.73,2015.0,utility services,23.06,full time
dispatch/scheduler,transfort / dial-a-ride,47848.85,2015.0,planning development & transportation,23.0,full time
technical svcs supv-wtr trtmnt,ut water production div,47805.45,2015.0,utility services,22.98,full time
customer service rep ii,parking,47689.32,2015.0,planning development & transportation,22.93,full time
administrative assistant,l&p operations service unit,47606.08,2015.0,utility services,22.89,full time
parks/grounds tech,parks,47583.74,2015.0,community and operation services,22.88,full time
service planner-inactive,transfort / dial-a-ride,47544.25,2015.0,planning development & transportation,22.86,full time
admin tech support specialist,operation services,47498.33,2015.0,community and operation services,22.84,full time
recreation coordinator,recreation,47402.46,2015.0,community and operation services,22.79,full time
asst human resources director,human resources,47398.01,2015.0,information and employee services,22.79,full time
hvac lead-inactive,operation services,47385.5,2015.0,community and operation services,22.78,full time
sr budget analyst,budget,47375.25,2015.0,financial services,22.78,full time
administrative assistant,comm dev & neighborhood svcs,47296.07,2015.0,planning development & transportation,22.74,full time
publicity/marketing tech,utilities customer connections,47268.47,2015.0,utility services,22.73,full time
administrative assistant,fc moves,47217.5,2015.0,planning development & transportation,22.7,full time
administrative assistant,information technology,47181.55,2015.0,information and employee services,22.68,full time
administrative assistant,engineering,47171.71,2015.0,planning development & transportation,22.68,full time
accounts payable rep,utility financial operations,47154.74,2015.0,utility services,22.67,full time
streets equipment operator i,streets,47116.04,2015.0,planning development & transportation,22.65,full time
police officer,patrol,47103.72,2015.0,police services,22.65,full time
electrical engineer i,ut standards engineering div,47095.92,2015.0,planning development & transportation,22.64,full time
pc hardwr/softwre specialist,information technology,47073.39,2015.0,information and employee services,22.63,full time
customer service rep ii,utilities customer connections,47022.57,2015.0,utility services,22.61,full time
energy services program coord,utilities customer connections,46989.16,2015.0,utility services,22.59,full time
forestry specialist,parks,46963.4,2015.0,community and operation services,22.58,full time
streets equipment operator i,streets,46917.92,2015.0,planning development & transportation,22.56,full time
customer service rep ii,parking,46913.08,2015.0,planning development & transportation,22.55,full time
parks/grounds tech,parks,46709.17,2015.0,community and operation services,22.46,full time
customer service rep ii,utilities customer connections,46672.9,2015.0,utility services,22.44,full time
curator,cultural services,46588.28,2015.0,community and operation services,22.4,full time
