"Job Title","Department","2015 Earnings"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,339.80"
"INSTRUMENT/ELECTRICAL SPVSR","UT WTR RECLAMA & BIOSOLIDS DIV","$86,250.52"
"POLICE OFFICER","PATROL","$86,201.29"
"POLICE OFFICER","OFFICE OF THE CHIEF","$86,160.31"
"POLICE OFFICER","PATROL","$86,143.35"
"PLANS ANALYST","COMM DEV & NEIGHBORHOOD SVCS","$86,138.70"
"POLICE OFFICER","INVESTIGATIONS","$86,090.58"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,085.13"
"POLICE OFFICER","PATROL","$86,083.19"
"POLICE OFFICER","PATROL","$86,061.23"
"CIVIL ENGINEER II","ENGINEERING","$86,015.31"
"POLICE OFFICER","PATROL","$86,007.80"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$85,986.49"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$85,969.23"
"POLICE OFFICER","PATROL","$85,926.64"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","$85,909.32"
"DATABASE ANALYST","UT PROCESS & SUPERVIS CNTR DIV","$85,870.52"
"STRATEGIC PROJECTS MANAGER","UTILITIES STRATEGIC PLANNING","$85,791.14"
"POLICE OFFICER","PATROL","$85,790.91"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$85,764.27"
"UTILITY RATE ANALYST","UTILITY FINANCIAL OPERATIONS","$85,747.50"
"POLICE SERGEANT","PATROL","$85,728.22"
"CIVIL ENGINEER II","UT WATER UTILITIES ENGINEERING","$85,641.64"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$85,618.21"
"POLICE OFFICER","PATROL","$85,586.49"
"POLICE OFFICER","PATROL","$85,556.72"
"POLICE OFFICER","PATROL","$85,453.16"
"POLICE OFFICER","INVESTIGATIONS","$85,414.68"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","$85,400.76"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","$85,286.40"
"LIBRARY IT MANAGER","LIBRARY DISTRICT","$85,179.48"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$85,116.05"
"CREW CHIEF","STREETS","$85,079.93"
"POLICE OFFICER","INVESTIGATIONS","$85,073.13"
"POLICE OFFICER","PATROL","$85,010.68"
"POLICE OFFICER","PATROL","$85,000.46"
"POLICE OFFICER","PATROL","$84,998.21"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,883.07"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,872.82"
"POLICE OFFICER","INVESTIGATIONS","$84,824.84"
"POLICE OFFICER","PATROL","$84,810.95"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,778.92"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","$84,767.00"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$84,647.38"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,555.10"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,535.86"
"POLICE OFFICER","PATROL","$84,512.08"
"SYS INTEGRATOR/NETWK ADMINIST","INFORMATION TECHNOLOGY","$84,365.41"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,343.16"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,337.04"
"POLICE OFFICER","PATROL","$84,223.28"
"CIVIL ENGINEER II","UT WATER UTILITIES ENGINEERING","$84,161.09"
"POLICE OFFICER","PATROL","$84,157.04"
"TELECOM SYSTEMS ADMINISTRATOR","L&P OPERATIONS SERVICE UNIT","$84,153.87"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,064.45"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,064.44"
"DIRECTOR OF PARKS","PARKS","$84,057.14"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$84,036.30"
"POLICE OFFICER","PATROL","$83,990.96"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$83,947.48"
"POLICE OFFICER","INVESTIGATIONS","$83,922.83"
"POLICE OFFICER","PATROL","$83,899.09"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$83,886.54"
"CIVIL ENGINEER II","ENGINEERING","$83,881.16"
"TELECOM TECHNICAL SPECIALIST","INFORMATION TECHNOLOGY","$83,816.46"
"POLICE OFFICER","INVESTIGATIONS","$83,760.66"
"CHIEF SURVEYOR","ENGINEERING","$83,738.29"
"CREW CHIEF","UT DRAINAGE SYSTEM DIV","$83,734.64"
"POLICE OFFICER","PATROL","$83,716.18"
"PROJECT MANAGER/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$83,704.25"
"LEARNING & ORG DEV MANAGER","HUMAN RESOURCES","$83,679.00"
"ELECTRIC FIELD SERVICE MANAGER","ELECTRIC FIELD SERVICES","$83,645.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,583.90"
"POLICE OFFICER","PATROL","$83,508.39"
"POLICE OFFICER","PATROL","$83,497.37"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,494.44"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,444.29"
"LINEWORKER EQUIPMENT SPEC","ELECTRIC FIELD SERVICES","$83,386.06"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,226.80"
"SR ELEC UTIL PROJ MGR","UT ELECTRIC SYSTEMS ENG DIV","$83,198.00"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,164.75"
"POLICE OFFICER","INVESTIGATIONS","$83,121.88"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$83,033.87"
"HR BUSINESS AND TECHNOLOGY MGR","HUMAN RESOURCES","$83,002.40"
"ELECTRONIC TECHNICIAN II","UT STANDARDS ENGINEERING DIV","$82,986.98"
"POLICE OFFICER","INVESTIGATIONS","$82,953.67"
"POLICE OFFICER","PATROL","$82,900.74"
"POLICE OFFICER","PATROL","$82,876.34"
"POLICE OFFICER","PATROL","$82,868.68"
"POLICE OFFICER","PATROL","$82,807.79"
"POLICE OFFICER","PATROL","$82,753.14"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,741.44"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$82,729.91"
"RISK MANAGER","SAFETY, SECURITY, & RISK MGMT.","$82,703.15"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,661.18"
"CIVIL ENGINEER II","UT WATER UTILITIES ENGINEERING","$82,587.01"
"REAL ESTATE SERVICES MANAGER","OPERATION SERVICES","$82,554.66"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,509.50"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$82,372.50"
"POLICE OFFICER","PATROL","$82,370.36"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,367.05"
"POLICE OFFICER","PATROL","$82,364.81"
"POLICE OFFICER","PATROL","$82,317.02"
"POLICE OFFICER","PATROL","$82,292.28"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,279.17"
"POLICE OFFICER","PATROL","$82,271.19"
"ENGINEERING PROJECT MANAGER","ENGINEERING","$82,239.50"
"POLICE OFFICER","INVESTIGATIONS","$82,228.54"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$82,165.73"
"CHEMIST","UT WATER PRODUCTION DIV","$81,943.03"
"POLICE OFFICER","PATROL","$81,909.31"
"POLICE OFFICER","PATROL","$81,784.92"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$81,762.22"
"SR TRANSPORTATION PLANNER","FC MOVES","$81,661.02"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$81,649.96"
"POLICE OFFICER","PATROL","$81,645.32"
"SR LANDSCAPE ARCHITECT","PARK PLANNING & DEVELOPMENT","$81,575.36"
"POLICE OFFICER","PATROL","$81,306.27"
"POLICE OFFICER","PATROL","$81,305.98"
"CREW CHIEF","STREETS","$81,297.32"
"POLICE OFFICER","PATROL","$81,297.25"
"DATABASE ANALYST","UT PROCESS & SUPERVIS CNTR DIV","$81,276.32"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$81,262.29"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$81,176.80"
"HISTORIC PRESERVATION MANAGER","COMM DEV & NEIGHBORHOOD SVCS","$81,159.69"
"LAN AND SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","$81,135.00"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$81,125.84"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$81,016.34"
"POLICE OFFICER","PATROL","$80,858.40"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$80,839.41"
"CABLE TELEVISION MANAGER","COMM. & PUBLIC INVOLVEMENT","$80,756.54"
"POLICE OFFICER","PATROL","$80,737.10"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$80,705.27"
"POLICE OFFICER","INVESTIGATIONS","$80,691.24"
"POLICE SERGEANT","PATROL","$80,684.09"
"POLICE OFFICER","PATROL","$80,657.70"
"POLICE OFFICER","PATROL","$80,615.72"
"POLICE OFFICER","INVESTIGATIONS","$80,615.29"
"POLICE OFFICER","PATROL","$80,606.49"
"PROCESS CONTROL SUPERVISOR","UT WTR RECLAMA & BIOSOLIDS DIV","$80,570.75"
"POLICE OFFICER","PATROL","$80,560.08"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$80,555.38"
"POLICE OFFICER","PATROL","$80,524.89"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","$80,518.44"
"POLICE OFFICER","PATROL","$80,495.95"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$80,382.99"
"POLICE OFFICER","PATROL","$80,354.80"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","$80,266.99"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$80,220.74"
"POLICE OFFICER","PATROL","$80,199.67"
"POLICE OFFICER","PATROL","$80,190.47"
"SR ENVIRONMENTAL PLANNER","NATURAL AREAS","$80,047.01"
"SR ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$79,989.75"
"POLICE OFFICER","PATROL","$79,931.94"
"UTILITY RATE ANALYST","UTILITY FINANCIAL OPERATIONS","$79,846.75"
"LAN AND SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","$79,750.00"
"POLICE OFFICER","PATROL","$79,747.20"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$79,739.32"
"UTILITIES CUST SUPPORT MANAGER","UTILITIES CUSTOMER CONNECTIONS","$79,679.03"
"POLICE OFFICER","PATROL","$79,654.32"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$79,458.82"
"MAINTENANCE PLANNER/SCHEDULER","OPERATION SERVICES","$79,455.17"
"CREW CHIEF","STREETS","$79,406.00"
"PARKS SUPERVISOR","PARKS","$79,362.64"
"POLICE OFFICER","PATROL","$79,343.23"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$79,303.32"
"POLICE OFFICER","PATROL","$79,292.18"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","$79,266.53"
"POLICE OFFICER","PATROL","$79,265.20"
"WATERSHED SPECIALIST","UT WATER PRODUCTION DIV","$79,244.51"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$79,221.58"
"CONSTRUCTION INSPECTOR","ENGINEERING","$79,196.34"
"GIS MANAGER","INFORMATION TECHNOLOGY","$79,094.88"
"COMMUNITY ENGAGEMENT MANAGER","UTILITIES CUSTOMER CONNECTIONS","$79,085.00"
"POLICE OFFICER","PATROL","$79,026.83"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$78,870.72"
"ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$78,869.30"
"PARKS FINANCE SUPERVISOR","COMMUNITY SERVICES ADMIN","$78,830.97"
"POLICE OFFICER","PATROL","$78,804.88"
"CRIMINALIST","INVESTIGATIONS","$78,713.04"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$78,656.09"
"POLICE OFFICER","PATROL","$78,648.99"
"CREW CHIEF","UT COLLECTION SYSTEM DIV","$78,593.47"
"INVESTMENT ADMINISTRATOR","ACCOUNTING AND TREASURY","$78,534.82"
"RECREATION AREA MANAGER","RECREATION","$78,490.20"
"POLICE OFFICER","PATROL","$78,379.89"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$78,149.02"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","$78,122.97"
"COMPENSATION ANALYST","HUMAN RESOURCES","$77,968.37"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$77,964.10"
"CHIEF CONSTRUCTION INSPECTOR","ENGINEERING","$77,950.66"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","$77,877.37"
"POLICE OFFICER","INVESTIGATIONS","$77,867.54"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$77,805.51"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$77,698.17"
"POLICY AND PROJECT MANAGER","CITY MANAGER'S OFFICE","$77,688.30"
"POLICE OFFICER","PATROL","$77,639.81"
"CREW CHIEF","UT DRAINAGE SYSTEM DIV","$77,608.29"
"FINANCIAL & POLICY ANALYST","OPERATION SERVICES","$77,586.00"
"POLICE OFFICER","INVESTIGATIONS","$77,485.13"
"SR CITY PLANNER-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$77,445.44"
"POLICE OFFICER","PATROL","$77,416.15"
"ELECTRIC UTILITY PROJECT MGR","UT STANDARDS ENGINEERING DIV","$77,378.72"
"PARKS SUPERVISOR","PARKS","$77,337.32"
"BIKES PROGRAM MANAGER","FC MOVES","$77,231.40"
"POLICE OFFICER","PATROL","$77,231.13"
"WATER SUPPLY SUPERVISOR","UT WATER PRODUCTION DIV","$77,227.50"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$77,151.04"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$76,993.77"
"COMMUNICATIONS & MARKETING MGR","UTILITIES CUSTOMER CONNECTIONS","$76,922.96"
"PERFORMING ARTS CENTER MGR","CULTURAL SERVICES","$76,818.12"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$76,809.67"
"POLICE OFFICER","PATROL","$76,773.91"
"SURVEY PARTY CHIEF","ENGINEERING","$76,683.54"
"CIVIL ENGINEER II","ENGINEERING","$76,674.35"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$76,670.24"
"POLICE OFFICER","PATROL","$76,634.55"
"LEAD PLANT OPERATOR","UT WATER PRODUCTION DIV","$76,587.56"
"LEAD BUILDING INSP-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$76,489.24"
"INTEGRATED LIB SYSTMS ADMINSTR","LIBRARY DISTRICT","$76,413.75"
"SR HRIS/BENEFITS ANALYST","HUMAN RESOURCES","$76,377.29"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$76,352.00"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$76,297.44"
"SR CONSTRUCTION INSPECTOR","ENGINEERING","$76,151.02"
"ECON POLICY & PROJECT MGR","ECONOMIC HEALTH OFFICE","$76,037.88"
"LEAD PLANT OPERATOR","UT WATER PRODUCTION DIV","$75,985.73"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$75,915.95"
"ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$75,837.25"
"POLICE SERVICES TECHNICIAN","POLICE INFORMATION SERVICES","$75,799.54"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$75,643.60"
"MANAGER OF PARKS","PARKS","$75,570.20"
"CIVIL ENGINEER I","UT WATER UTILITIES ENGINEERING","$75,487.71"
"CIVIL ENGINEER I","UT WATER UTILITIES ENGINEERING","$75,417.19"
"POLICE OFFICER","PATROL","$75,407.43"
"CREW CHIEF","TRAFFIC","$75,380.54"
"WELLNESS PROGRAM MANAGER","HUMAN RESOURCES","$75,309.71"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$75,264.06"
"LINEWORKER EQUIPMENT SPEC","ELECTRIC FIELD SERVICES","$75,261.35"
"DIR SAFTY, SECURTY & RISK MGMT","SAFETY, SECURITY, & RISK MGMT.","$75,192.36"
"POLICE SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$75,155.16"
"UTILITIES PROJECT COORDINATOR","UTILITY FINANCIAL OPERATIONS","$75,114.12"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$75,031.07"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$74,954.82"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$74,857.73"
"RECORDS MANAGER","POLICE INFORMATION SERVICES","$74,784.12"
"CIVIL ENGINEER I","UT DISTRIBUTION SYSTEM DIV","$74,764.23"
"DIR OF SOCIAL SUSTAINABILITY","SOCIAL SUSTAINABILITY","$74,667.90"
"POLICY AND PROJECT MANAGER","CITY MANAGER'S OFFICE","$74,599.00"
"COMMUNITY RELATIONS MANAGER","NATURAL AREAS","$74,579.73"
"ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$74,497.98"
"MGR OF GARDENS ON SPRING CREEK","CULTURAL SERVICES","$74,401.87"
"CIVIL ENGINEER I","UT WATER UTILITIES ENGINEERING","$74,369.06"
"CHIEF SUSTAINABILITY OFFICER","SUSTAINABILITY SERVICES ADMIN","$74,363.40"
"ASSISTANT CITY ATTORNEY I","CITY ATTORNEY'S OFFICE","$74,353.27"
"DIRECTOR OF PDT","PDT ADMINISTRATION","$74,322.66"
"LIBRARY MANAGER","LIBRARY DISTRICT","$74,259.08"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$74,141.22"
"CHIEF DEPUTY CITY CLERK","CITY CLERK'S OFFICE","$74,066.64"
"TRAFFIC SIGNAL TECH II","TRAFFIC","$74,031.97"
"CIVIL ENGINEER III","ENGINEERING","$73,927.27"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$73,915.47"
"POLICE OFFICER","INVESTIGATIONS","$73,896.10"
"WEB PROGRAMMER ANALYST","INFORMATION TECHNOLOGY","$73,862.04"
"PARKS PROJECT MANAGER","PARKS","$73,857.42"
"CREATIVE DIRECTOR","COMM. & PUBLIC INVOLVEMENT","$73,788.48"
"SR ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","$73,746.36"
"CREW CHIEF","PARKS","$73,701.23"
"VICTIM SERVICES SUPERVISOR","INVESTIGATIONS","$73,672.61"
"TECHNICAL SERVICES SPECIALIST","INVESTIGATIONS","$73,643.87"
"SR BUDGET & BOARD COORDINATOR","POUDRE FIRE AUTHORITY","$73,608.71"
"ERP ANALYST","INFORMATION TECHNOLOGY","$73,580.04"
"ELECTRIC UTILITY PROJECT MGR","UT ELECTRIC SYSTEMS ENG DIV","$73,564.00"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$73,524.96"
"SHOP SUPERVISOR-Inactive","OPERATION SERVICES","$73,296.75"
"POLICE OFFICER","PATROL","$73,272.97"
"POLICE OFFICER","PATROL","$73,254.85"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$73,203.50"
"POLICE OFFICER","PATROL","$73,129.80"
"POLICE OFFICER","PATROL","$73,119.75"
"POLICE OFFICER","PATROL","$73,087.29"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$73,076.71"
"POLICE OFFICER","PATROL","$73,020.69"
"POLICE OFFICER","PATROL","$72,983.21"
"HR & POLICY ADMINISTRATOR","POUDRE FIRE AUTHORITY","$72,897.34"
"SR SALES TAX AUDITOR","SALES TAX","$72,697.26"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$72,605.38"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$72,594.52"
"KEY ACCOUNTS REP","UTILITIES CUSTOMER CONNECTIONS","$72,495.36"
"POLICE SERGEANT","PATROL","$72,492.31"
"RECREATION SUPERVISOR","RECREATION","$72,441.23"
"POLICE OFFICER","PATROL","$72,304.05"
"POLICE OFFICER","PATROL","$72,291.06"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$72,250.00"
"COLLECTIONS MGR - LIBRARY","LIBRARY DISTRICT","$72,237.91"
"RESOURCE RECOVERY CHIEF","UT WTR RECLAMA & BIOSOLIDS DIV","$72,226.98"
"SUPERINTENDENT OF GOLF-Inactiv","PARKS","$72,090.59"
"PARTS SUPERVISOR","OPERATION SERVICES","$72,090.59"
"CONSTRUCTION INSPECTOR","STREETS","$71,991.49"
"ENERGY MANAGER","OPERATION SERVICES","$71,925.04"
"HUMAN RESOURCES PARTNER-Inactv","HUMAN RESOURCES","$71,920.43"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$71,912.99"
"POLICE SERGEANT","INVESTIGATIONS","$71,816.67"
"SERVICE DEV MGR-Inactive","TRANSFORT / DIAL-A-RIDE","$71,809.21"
"GIS MAPPING TECH - Inactive","POUDRE FIRE AUTHORITY","$71,751.22"
"SUPERINTENDENT OF GOLF-Inactiv","PARKS","$71,722.55"
"POLICE OFFICER","PATROL","$71,590.25"
"FINANCIAL COORDINATOR","PARKING","$71,385.64"
"REC FINANCE/BUSINESS ANALYST","RECREATION","$71,383.08"
"FLEET MAINTENANCE TECHNICIAN","POUDRE FIRE AUTHORITY","$71,376.16"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$71,304.20"
"CREW CHIEF","PARKS","$71,241.86"
"POLICE OFFICER","PATROL","$71,203.99"
"ACCOUNTING DIRECTOR","ACCOUNTING AND TREASURY","$71,168.80"
"SR CITY PLNNR/ZONING-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$71,016.48"
"CONSTRUCTION INSPECTOR","ENGINEERING","$70,858.15"
"POLICE OFFICER","PATROL","$70,832.88"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$70,813.60"
"RECREATION SUPERVISOR","RECREATION","$70,774.64"
"ASSISTANT MUSEUM DIRECTOR","CULTURAL SERVICES","$70,747.36"
"POLICE OFFICER","PATROL","$70,740.30"
"PLANS ANALYST","COMM DEV & NEIGHBORHOOD SVCS","$70,660.83"
"POLICE OFFICER","PATROL","$70,653.27"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$70,534.31"
"LIBRARY MANAGER","LIBRARY DISTRICT","$70,522.74"
"LEAD MECHANIC","OPERATION SERVICES","$70,507.98"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$70,438.06"
"POLICE LIEUTENANT","OFFICE OF THE CHIEF","$70,374.83"
"SUPERINTENDENT OF GOLF-Inactiv","PARKS","$70,373.13"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","$70,297.85"
"SR ELEC UTIL PROJ MGR","UT ELEC SYSTEM DESIGN & IT DIV","$70,218.00"
"CREDIT/COLLECTIONS REP","UTILITIES CUSTOMER CONNECTIONS","$70,208.00"
"CREW CHIEF","PARKS","$70,148.61"
"COMMUNITY SERVICE OFFICER","PATROL","$70,018.90"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$69,995.55"
"POLICE OFFICER","PATROL","$69,943.90"
"MECHANIC","OPERATION SERVICES","$69,751.70"
"POLICE OFFICER","PATROL","$69,712.56"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$69,689.32"
"KEY ACCOUNTS REP","UTILITIES CUSTOMER CONNECTIONS","$69,652.36"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$69,637.31"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","$69,625.09"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$69,616.27"
"STREETS EQUIPMENT OPERATOR II","STREETS","$69,565.02"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$69,556.47"
"POLICE OFFICER","PATROL","$69,476.37"
"POLICE OFFICER","PATROL","$69,421.10"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","$69,396.45"
"LEAD MECHANIC","OPERATION SERVICES","$69,382.40"
"LEAD MECHANIC","OPERATION SERVICES","$69,325.71"
"SYSTEMS ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$69,230.72"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$69,181.05"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$69,177.74"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$69,095.16"
"GIS PROGRAMMER/ANALYST","INFORMATION TECHNOLOGY","$69,066.48"
"CREW CHIEF","PARKS","$69,052.09"
"CREW CHIEF","NATURAL AREAS","$68,988.82"
"SR BUYER-Inactive","PURCHASING","$68,979.89"
"COMMUNITY SERVICE OFFICER","PATROL","$68,941.61"
"THERAPEUTIC RECREATION SPEC","RECREATION","$68,920.24"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$68,855.04"
"CONTROL & DATA SYS SPECIALIST","UT PROCESS & SUPERVIS CNTR DIV","$68,813.74"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$68,799.66"
"MASTER ELECTRICIAN","OPERATION SERVICES","$68,731.60"
"LIBRARIAN","LIBRARY DISTRICT","$68,698.99"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$68,666.85"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$68,639.81"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","$68,604.26"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","$68,500.94"
"POLICE OFFICER","PATROL","$68,436.53"
"MECHANIC","OPERATION SERVICES","$68,320.53"
"MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","$68,268.81"
"PROGRAMS ADMINISTRATOR/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$68,254.22"
"PROPERTY / EVIDENCE SUPERVISOR","POLICE INFORMATION SERVICES","$68,172.48"
"SR BUYER-Inactive","PURCHASING","$68,149.29"
"CONTROL & DATA SYS SPECIALIST","UT PROCESS & SUPERVIS CNTR DIV","$68,069.64"
"POLICE RECORDS SUPERVISOR","POLICE INFORMATION SERVICES","$68,032.91"
"POLICE RECORDS SUPERVISOR","POLICE INFORMATION SERVICES","$68,017.91"
"TRAFFIC ENGINEERING TECH III","TRAFFIC","$68,015.52"
"REAL ESTATE SPECIALIST III","OPERATION SERVICES","$68,013.55"
"CIVIL ENGINEER I","ENGINEERING","$68,001.88"
"POLICE SERGEANT","PATROL","$67,976.34"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$67,972.73"
