"Job Title","Department","2016 Earnings"
"RESTORATIVE JUSTICE PROG COORD","COMM DEV & NEIGHBORHOOD SVCS","$65,331.08"
"CRIME ANALYST","PATROL","$65,296.19"
"EQUIPMENT OPERATOR SPECIALIST","STREETS","$65,272.54"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$65,263.22"
"SYSTEMS & PERFORMANCE ANALYST","RIDE","$65,132.50"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$65,116.21"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$65,082.11"
"CIVIL ENGINEER I","ENGINEERING","$65,076.10"
"CONSTRUCTION INSPECTOR","ENGINEERING","$65,059.04"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","$65,053.69"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$65,019.58"
"CREW CHIEF","PARKS","$64,931.40"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$64,912.57"
"RECREATION AREA MANAGER","RECREATION","$64,802.40"
"RECREATION AREA MANAGER","RECREATION","$64,779.90"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$64,770.19"
"MECHANIC","OPERATION SERVICES","$64,732.22"
"HRIS ANALYST","HUMAN RESOURCES","$64,708.68"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$64,396.28"
"CREW CHIEF","PARKS","$64,292.28"
"COMPLIANCE SUPERVISOR","COMM DEV & NEIGHBORHOOD SVCS","$64,270.17"
"REDEVELOPMENT COORDINATOR","ECONOMIC HEALTH OFFICE","$64,185.00"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$64,121.44"
"ASST SUPERINTENDENT-GOLF","PARKS","$64,026.82"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$63,804.00"
"ROAD SUPERVISOR","RIDE","$63,716.79"
"LEGAL EXEC ADMIN ASST","CITY ATTORNEY'S OFFICE","$63,698.10"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$63,638.24"
"VICTIM ADVOCATE","INVESTIGATIONS","$63,574.70"
"EXECUTIVE ASST TO THE CITY MGR","CITY MANAGER'S OFFICE","$63,456.75"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","$63,447.90"
"SR FINANCIAL ANALYST","FINANCE ADMINISTRATION","$63,403.00"
"INDUSTRIAL PRETREATMENT SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$63,376.41"
"FINANCIAL COORDINATOR","STREETS","$63,373.42"
"MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","$63,346.86"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$63,318.05"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$63,292.64"
"SURVEY PARTY CHIEF-INACTIVE","ENGINEERING","$63,284.64"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$63,281.41"
"FACILITIES LEAD LOCATOR","ELECTRIC FIELD SERVICES","$63,145.80"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$63,055.00"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$63,027.72"
"OCCUPATIONAL HEALTH PROF","SAFETY, SECURITY, & RISK MGMT.","$62,926.97"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$62,897.86"
"SR COMMUNICATIONS & MKTG SPEC","UTILITIES CUSTOMER CONNECTIONS","$62,776.27"
"TRAFFIC ENGINEERING TECH II","TRAFFIC","$62,745.56"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$62,665.16"
"POLICE OFFICER","PATROL","$62,649.74"
"ROAD SUPERVISOR","RIDE","$62,613.70"
"CROSS CONNECTION CONTROL TECH","UT DISTRIBUTION SYSTEM DIV","$62,521.48"
"RESOURCE RECOVERY SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$62,463.96"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$62,460.33"
"FACILITIES LOCATE SUPERVISOR","ELECTRIC FIELD SERVICES","$62,447.71"
"GRANTS DEVELOPMENT SPECIALIST","CITY MANAGER'S OFFICE","$62,415.26"
"RECREATION SUPV - INACTIVE","RECREATION","$62,380.15"
"RECREATION SUPV - INACTIVE","RECREATION","$62,380.15"
"CONSTRUCTION INSPECTOR","ENGINEERING","$62,342.94"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$62,312.24"
"POLICE OFFICER","PATROL","$62,222.02"
"NATURAL RESOURC WATERSHED SPEC","NATURAL AREAS","$62,178.81"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$62,177.75"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$62,173.79"
"HEALTH AND SAFETY SPECIALIST","SAFETY, SECURITY, & RISK MGMT.","$62,131.95"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$62,116.22"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","$62,085.28"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$62,056.06"
"ASST SUPERINTENDENT-GOLF","PARKS","$62,050.31"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$61,945.83"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$61,919.10"
"MECHANIC","OPERATION SERVICES","$61,856.53"
"MECHANIC","OPERATION SERVICES","$61,844.98"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$61,834.48"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$61,834.48"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$61,825.05"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$61,739.87"
"PARK RANGER","PARKS","$61,739.80"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$61,654.44"
"ADMIN SUPPORT SUPV - INACTIVE","HUMAN RESOURCES","$61,653.57"
"BUSINESS ANALYST","UT DISTRIBUTION SYSTEM DIV","$61,641.45"
"POLICE OFFICER","PATROL","$61,605.18"
"LEAD PC HARDWR/SOFTWRE SPEC","INFORMATION TECHNOLOGY","$61,534.20"
"FINANCIAL COORDINATOR","CULTURAL SERVICES","$61,495.00"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$61,465.29"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$61,407.93"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$61,384.61"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$61,325.47"
"ASST SUPERINTENDENT-GOLF","PARKS","$61,299.75"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$61,298.79"
"POLICE OFFICER","PATROL","$61,194.23"
"STREETS EQUIPMENT OPERATOR II","STREETS","$61,150.73"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$61,150.01"
"CDBG/HOME PROGRAM ADMINSTR","SOCIAL SUSTAINABILITY","$61,148.00"
"ZONING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$61,128.29"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$61,111.47"
"MECHANIC","OPERATION SERVICES","$61,074.16"
"AFFORDABLE HOUSNG PROG ADMNSTR","SOCIAL SUSTAINABILITY","$61,058.57"
"DEPUTY CITY CLERK","CITY CLERK'S OFFICE","$61,005.71"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$60,993.70"
"WELLNESS PROGRAM COORDINATOR","HUMAN RESOURCES","$60,964.38"
"AQUATICS MAINTENANCE LEAD","OPERATION SERVICES","$60,956.61"
"TECHNICAL PRODUCTION DIRECTOR","CULTURAL SERVICES","$60,953.83"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","$60,851.27"
"PLANS ANALYST","COMM DEV & NEIGHBORHOOD SVCS","$60,809.94"
"ACCOUNTANT II","ACCOUNTING AND TREASURY","$60,744.53"
"CUSTOMER SERVICE SUPERVISOR","PARKING","$60,700.25"
"LIBRARY IT MANAGER","LIBRARY DISTRICT","$60,698.24"
"PARK RANGER","PARKS","$60,692.98"
"PARKS & RECREATION PR SUPV","RECREATION","$60,667.48"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$60,623.74"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$60,611.04"
"STREETS EQUIPMENT OPERATOR II","STREETS","$60,603.60"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$60,583.23"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","$60,559.44"
"ENVIRO ED/PUBLIC INVOLV COORD","NATURAL AREAS","$60,499.74"
"CREW CHIEF","PARKS","$60,434.23"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$60,396.47"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$60,370.73"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$60,214.62"
"FORESTRY CREW CHIEF","PARKS","$60,196.39"
"HVAC LEAD","OPERATION SERVICES","$60,192.62"
"MAINT TECH-LANDSCAPE","ELECTRIC FIELD SERVICES","$60,162.62"
"REVENUE/LICENSING AGENT","SALES TAX","$60,146.60"
"FINANCIAL COORDINATOR","ENGINEERING","$60,097.33"
"MECHANIC","OPERATION SERVICES","$60,073.54"
"ADMIN ASST & BOARD COORD","POUDRE FIRE AUTHORITY","$60,000.22"
"MECHANIC","OPERATION SERVICES","$59,985.57"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$59,960.05"
"BUYER","PURCHASING","$59,835.50"
"RECREATION COORDINATOR","RECREATION","$59,808.10"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","$59,749.70"
"EMERGENCY MANAGEMENT SPEC","POUDRE FIRE AUTHORITY","$59,748.93"
"FRAUD INVESTIGATIONS SPECIALIS","INVESTIGATIONS","$59,668.25"
"SR SALES TAX AUDITOR","SALES TAX","$59,662.30"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$59,614.82"
"ROAD SUPERVISOR","RIDE","$59,537.59"
"GRAPHICS SPECIALIST","COMM. & PUBLIC INVOLVEMENT","$59,485.00"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$59,468.93"
"MECHANIC","OPERATION SERVICES","$59,435.26"
"TRANSIT PLANNER","RIDE","$59,404.55"
"MECHANIC","OPERATION SERVICES","$59,392.00"
"STREETS EQUIPMENT OPERATOR II","STREETS","$59,378.85"
"RECREATION COORDINATOR","RECREATION","$59,290.31"
"POLICE SERVICES TECHNICIAN","POLICE INFORMATION SERVICES","$59,289.57"
"CIRCULATION SUPERVISOR","LIBRARY DISTRICT","$59,168.34"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","$59,148.84"
"STREETS EQUIPMENT OPERATOR I","STREETS","$59,076.89"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","$59,049.12"
"PERSONNEL SPECIALIST","HUMAN RESOURCES","$59,033.50"
"SYSTEMS ADMINISTRATOR","LIBRARY DISTRICT","$59,012.77"
"PARKING ENFORCEMENT SUPERVISOR","PARKING","$58,999.75"
"ROAD SUPERVISOR","RIDE","$58,945.95"
"MECHANIC","OPERATION SERVICES","$58,813.98"
"SYSTEMS ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$58,808.99"
"RECREATION SUPV - INACTIVE","RECREATION","$58,725.74"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$58,706.68"
"COMMUNITY SERVICE OFFICER","PATROL","$58,664.16"
"STREETS EQUIPMENT OPERATOR I","STREETS","$58,577.85"
"WATER CONSERVATION SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$58,574.94"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$58,544.76"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$58,511.71"
"LEAD PC HARDWR/SOFTWRE SPEC","INFORMATION TECHNOLOGY","$58,458.48"
"FORESTRY TECHNICIAN","PARKS","$58,457.37"
"EXECUTIVE ADMINISTRATIVE ASST","LIBRARY DISTRICT","$58,430.51"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$58,416.61"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$58,416.40"
"COMMUNITY SERVICE OFFICER","PATROL","$58,404.75"
"COMMUNITY ENGAGEMENT SPECIALST","UTILITIES CUSTOMER CONNECTIONS","$58,355.97"
"ADMIN SUPPORT SUPV - INACTIVE","PARKS","$58,320.18"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$58,300.44"
"SR BUDGET ANALYST","BUDGET","$58,239.00"
"BIKES PROGRAM SPECIALIST","FC MOVES","$58,204.92"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","$58,153.77"
"PUBLIC RELATIONS COORDINATOR","CULTURAL SERVICES","$58,111.31"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$58,089.12"
"PARKS/GROUNDS TECH","PARKS","$58,040.90"
"CODE INSPECTOR","POUDRE FIRE AUTHORITY","$57,919.74"
"ROAD SUPERVISOR","RIDE","$57,869.36"
"MECHANIC","OPERATION SERVICES","$57,864.16"
"EMS CONTRACT COORDINATOR","POUDRE FIRE AUTHORITY","$57,856.31"
"ADMIN SUPPORT SUPV - INACTIVE","OPERATION SERVICES","$57,844.43"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$57,834.50"
"ENGINEERING TECHNICIAN","ENGINEERING","$57,792.86"
"MUNICIPAL COURT PROSECUTOR","CITY ATTORNEY'S OFFICE","$57,782.08"
"TECHNICAL SVCS SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$57,780.45"
"UTILITY FACILITY LOCATOR","ELECTRIC FIELD SERVICES","$57,678.37"
"MECHANIC","OPERATION SERVICES","$57,659.93"
"IT SUPPORT SPECIALIST","POUDRE FIRE AUTHORITY","$57,536.95"
"TRAFFIC ENGINEERING TECH II","TRAFFIC","$57,533.15"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$57,481.30"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$57,424.86"
"FIGURE AND FREESTYLE COACH","RECREATION","$57,393.92"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$57,325.26"
"ENGINEERING TECHNICIAN","UT DRAINAGE SYSTEM DIV","$57,303.85"
"FACILITY MAINTENANCE TECH","LIBRARY DISTRICT","$57,256.36"
"PERFORMING ARTS CTR MGR-INACTV","CULTURAL SERVICES","$57,242.40"
"ADMIN TECH SUPPORT SPECIALIST","RIDE","$57,218.50"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$57,105.75"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$57,096.77"
"ASSET MANAGER","UTILITIES STRATEGIC PLANNING","$57,044.91"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$56,958.08"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$56,908.49"
"MUNICIPAL COURT ADMNSTR-INACTV","MUNICIPAL COURT","$56,886.27"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","$56,870.34"
"WATERSHED SPECIALIST","UT WATER PRODUCTION DIV","$56,849.76"
"POLICE OFFICER","PATROL","$56,785.45"
"WATER METER TECHNICIAN","UT WATER METERS DIV","$56,758.02"
"PARKS/GROUNDS TECH","PARKS","$56,740.10"
"CUSTOMER ACCOUNTS MANAGER","UTILITIES CUSTOMER CONNECTIONS","$56,715.00"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$56,675.98"
"CUSTOMER SERVICE REP II","PARKING","$56,638.85"
"TRAFFIC SYSTEMS ENG - INACTIVE","TRAFFIC","$56,631.80"
"SALES MANAGER","CULTURAL SERVICES","$56,627.37"
"LEAD CUSTOMER SERVICE REP","UTILITIES CUSTOMER CONNECTIONS","$56,519.96"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$56,465.90"
"EXECUTIVE ADMINISTRATIVE ASST","POUDRE FIRE AUTHORITY","$56,360.43"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$56,307.46"
"PUBLICITY MARKETING SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$56,252.12"
"PARKS/GROUNDS TECH","PARKS","$56,220.08"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$56,219.17"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$56,123.27"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$56,115.41"
"PUBLICITY/MARKETING TECH","CITY CLERK'S OFFICE","$56,074.76"
"VOLUNTEER PROGRAM MANAGER","HUMAN RESOURCES","$56,044.07"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$55,984.37"
"BLDG & DEV REVIEW TECH SUPV","COMM DEV & NEIGHBORHOOD SVCS","$55,978.12"
"ASSISTANT MUSEUM DIRECTOR","CULTURAL SERVICES","$55,961.16"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$55,927.29"
"PARKS/GROUNDS TECH","PARKS","$55,926.69"
"CONSTRUCTION INSPECTOR","ENGINEERING","$55,914.37"
"FINANCIAL COORDINATOR","CITY MANAGER'S OFFICE","$55,881.58"
"ZONING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$55,829.52"
"POLICE SERGEANT","PATROL","$55,788.05"
"STREETS EQUIPMENT OPERATOR I","STREETS","$55,748.48"
"ADMINISTRATIVE ASSISTANT","COMM DEV & NEIGHBORHOOD SVCS","$55,712.87"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$55,675.23"
"SR CODE COMPLNCE INSP/OCCUPNCY","COMM DEV & NEIGHBORHOOD SVCS","$55,653.89"
"UTILITY FEE/RATE SPECIALIST","UTILITY FINANCIAL OPERATIONS","$55,592.30"
"FACILITIES PLANNER/DESIGNER","OPERATION SERVICES","$55,477.98"
"RESOURCE RECOVERY SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$55,476.41"
"SERVICE PLANNER","RIDE","$55,400.72"
"FORESTRY TECHNICIAN","PARKS","$55,369.17"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$55,307.38"
"FIELD/TRAINING COORDINATOR","RIDE","$55,297.53"
"FACILITY MAINTENANCE TECH","RECREATION","$55,201.79"
"CUSTODIAL CONTRACT ADMN","OPERATION SERVICES","$55,151.56"
"CIVIL ENGINEER III-INACTIVE","PARK PLANNING & DEVELOPMENT","$55,147.64"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$55,027.89"
"PARKS/GROUNDS TECH","PARKS","$55,019.99"
"EXECUTIVE ADMINISTRATIVE ASST","CITY MANAGER'S OFFICE","$55,018.70"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$54,998.95"
"COMMUNITY SERVICE OFFICER","PATROL","$54,983.63"
"FINANCIAL ANALYST","UTILITY FINANCIAL OPERATIONS","$54,935.25"
"CURATOR","CULTURAL SERVICES","$54,902.02"
"PARKS/GROUNDS TECH","PARKS","$54,898.08"
"MAINTENANCE TECH - ELECTRICIAN","OPERATION SERVICES","$54,878.80"
"FIRE SAFETY INSP/PLAN REVIEWER","POUDRE FIRE AUTHORITY","$54,778.81"
"RECREATION COORDINATOR","RECREATION","$54,726.07"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,717.48"
"TRAFFIC SIGNAL TECH I","TRAFFIC","$54,689.59"
"ADMIN SUPPORT SUPV - INACTIVE","STREETS","$54,616.86"
"CREDIT/COLLECTIONS REP","UTILITIES CUSTOMER CONNECTIONS","$54,606.76"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,579.14"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,530.19"
"BIKES PROGRAM SPECIALIST","FC MOVES","$54,514.90"
"GIS MAPPING SPECIALIST","INFORMATION TECHNOLOGY","$54,462.73"
"INTEGRATED LIB SYSTMS ADMINSTR","LIBRARY DISTRICT","$54,451.75"
"APPRENTICE LANDSCAPE ARCHITECT","PARK PLANNING & DEVELOPMENT","$54,400.66"
"NEIGHBRHD DEV REV OUTRCH SPC","COMM DEV & NEIGHBORHOOD SVCS","$54,397.76"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$54,385.00"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$54,382.60"
"CUST CARE & TECHNOLOGY MGR","UTILITIES CUSTOMER CONNECTIONS","$54,361.90"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$54,346.95"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,339.04"
"PARKS/GROUNDS TECH","PARKS","$54,317.83"
"RECREATION COORDINATOR","RECREATION","$54,292.20"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$54,266.09"
"ADMINISTRATIVE ASSISTANT","UT WATER PRODUCTION DIV","$54,250.02"
"PARKS/GROUNDS TECH","PARKS","$54,215.12"
"MAINTENANCE TECH - HVAC","OPERATION SERVICES","$54,150.78"
"FUNDRAISING & MARKETING COORD","CULTURAL SERVICES","$54,127.30"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$54,123.11"
"ROAD SUPERVISOR","RIDE","$54,032.38"
"BUS OPERATOR","RIDE","$54,031.38"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$53,980.20"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","$53,882.86"
"UTILITY WORKER / WATER","UT DISTRIBUTION SYSTEM DIV","$53,875.09"
"ENERGY SERVICES PROGRAM COORD","UTILITIES CUSTOMER CONNECTIONS","$53,791.32"
"TRANSIT SERVICES OFFICER","RIDE","$53,699.57"
"BENEFITS SPECIALIST","HUMAN RESOURCES","$53,629.42"
"VIDEO PRODUCER","COMM. & PUBLIC INVOLVEMENT","$53,584.71"
"EXECUTIVE ADMINISTRATIVE ASST","CITY MANAGER'S OFFICE","$53,581.10"
"CURATOR","CULTURAL SERVICES","$53,511.82"
"MAINTENANCE TECH - HVAC","OPERATION SERVICES","$53,505.68"
"TRANSIT SERVICES OFFICER","RIDE","$53,501.84"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$53,447.80"
"PARKING FACILITIES SUPERVISOR","PARKING","$53,404.63"
"PARKS/GROUNDS TECH","PARKS","$53,325.66"
"GIS MAPPING SPECIALIST","UT ELECTRIC SYSTEMS ENG DIV","$53,257.66"
"RECREATION COORDINATOR","RECREATION","$53,225.62"
"ECONOMIC HEALTH ANALYST","ECONOMIC HEALTH OFFICE","$53,163.95"
"PC HARDWARE/SOFTWARE SPEC","INFORMATION TECHNOLOGY","$53,040.78"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$53,017.54"
"PARKS/GROUNDS TECH","PARKS","$53,008.27"
"SR LEGAL ASSISTANT","CITY ATTORNEY'S OFFICE","$52,964.20"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$52,905.98"
"PARKS/GROUNDS TECH","PARKS","$52,848.40"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$52,805.74"
"ADMINISTRATIVE ASSISTANT","POLICE INFORMATION SERVICES","$52,775.84"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$52,775.07"
"DISPATCH/SCHEDULER SUPV-INACTV","RIDE","$52,748.19"
"STRATEGIC ACCOUNTS SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$52,743.34"
"ADMINISTRATIVE ASSISTANT","OFFICE OF THE CHIEF","$52,738.95"
"PARKS/GROUNDS TECH","PARKS","$52,717.45"
"ADMINISTRATIVE ASSISTANT","PATROL","$52,574.63"
"WATER CONSERVATION COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","$52,524.35"
"BENEFITS SPECIALIST","HUMAN RESOURCES","$52,504.84"
"EDUCATION SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$52,436.04"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$52,434.38"
"RECREATION COORDINATOR","RECREATION","$52,393.15"
"CIVIC ENGAGEMENT LIAISON","COMM. & PUBLIC INVOLVEMENT","$52,392.74"
"PC SUPPORT SPECIALIST","INFORMATION TECHNOLOGY","$52,380.01"
"RECREATION COORDINATOR","RECREATION","$52,378.50"
"PUBLICITY MARKETING SPECIALIST","COMM. & PUBLIC INVOLVEMENT","$52,354.94"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$52,316.14"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$52,289.59"
"CULTURAL SVCS AND FAC DIRECTOR","CULTURAL SERVICES","$52,161.00"
"TRANSIT SERVICES OFFICER","RIDE","$52,138.07"
"ADMINISTRATION SUPERVISOR","RIDE","$52,131.60"
"POLICE OFFICER","PATROL","$52,055.03"
"PAYROLL SPECIALIST II","ACCOUNTING AND TREASURY","$51,990.65"
"ASSOCIATE PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$51,989.32"
"BUS OPERATOR","RIDE","$51,951.05"
"FINANCIAL TECHNICIAN","STREETS","$51,914.91"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$51,833.34"
"CONSTRUCTION INSPECTOR","ENGINEERING","$51,799.56"
"AQUATICS MAINTENANCE TECH","OPERATION SERVICES","$51,771.55"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$51,703.97"
"BUS OPERATOR","RIDE","$51,686.24"
"BUS OPERATOR","RIDE","$51,674.31"
"ADMINISTRATIVE ASSISTANT","UT WTR RECLAMA & BIOSOLIDS DIV","$51,622.71"
"PUBLICITY MARKETING SPECIALIST","RECREATION","$51,592.31"
"TRAFFIC SIGNAL TECH I","TRAFFIC","$51,583.98"
"FINANCIAL ANALYST II","COMM DEV & NEIGHBORHOOD SVCS","$51,505.92"
"LINE GROUNDWORKER","ELECTRIC FIELD SERVICES","$51,445.57"
"BUS OPERATOR","RIDE","$51,444.11"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$51,436.42"
"UTILITY SERVICES COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","$51,412.65"
"PARALEGAL","CITY ATTORNEY'S OFFICE","$51,374.85"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$51,338.49"
"STREETS EQUIPMENT OPERATOR I","STREETS","$51,239.84"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$51,239.51"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","$51,171.48"
"SCHEDULING SUPV-INACTIVE","CULTURAL SERVICES","$51,149.02"
"INTERLIBRARY LOAN COORDINATOR","LIBRARY DISTRICT","$51,143.49"
"DISPATCH/SCHEDULER","RIDE","$51,135.87"
"PARALEGAL","CITY ATTORNEY'S OFFICE","$51,110.40"
"BUS OPERATOR","RIDE","$51,098.25"
"PARKS/GROUNDS TECH","PARKS","$51,012.64"
"ADMINISTRATIVE ASSISTANT","UT WATER SYSTEMS ENGR DIV","$50,961.10"
